,Beagle,Beaver,Chihuahua,Dobermann,German Shepherd,Ginger Cat,Gray Parrot 2,Gray Parrot Full,Gray Parrot,Husky,Irish Setter,Leopard,Lion,Lynx,Macaw Parrot,Moose,Puma,Raccoon,Red Squirrel,Vizsla
Beagle,1.000000238418579,0.7375964522361755,0.8904543519020081,0.8759709000587463,0.8212063312530518,0.8521683812141418,0.7463192939758301,0.6820460557937622,0.7175066471099854,0.8742895126342773,0.8510698676109314,0.7093639373779297,0.718135416507721,0.666620135307312,0.7272042632102966,0.7353013157844543,0.69034343957901,0.7829539775848389,0.781050443649292,0.9375138878822327
Beaver,0.7375964522361755,1.0000001192092896,0.7517102360725403,0.6825972199440002,0.6895112991333008,0.7951124906539917,0.7130988836288452,0.7148141860961914,0.7219329476356506,0.7289711236953735,0.7234008312225342,0.7412790060043335,0.7318556308746338,0.7771748304367065,0.7003501653671265,0.7770397067070007,0.7647358179092407,0.8619881868362427,0.8400360345840454,0.7369311451911926
Chihuahua,0.8904543519020081,0.7517102360725403,1.0000001192092896,0.8541451692581177,0.8132875561714172,0.8619574904441833,0.7687605619430542,0.7143579721450806,0.7489850521087646,0.867029070854187,0.8225083947181702,0.7318281531333923,0.7130692005157471,0.691932201385498,0.7389888763427734,0.7686189413070679,0.728789210319519,0.7985247373580933,0.7963995337486267,0.8875259160995483
Dobermann,0.8759709000587463,0.6825972199440002,0.8541451692581177,0.9999998807907104,0.8529747724533081,0.8055312633514404,0.7423672676086426,0.6845062971115112,0.7156713008880615,0.8441652059555054,0.8392919301986694,0.7304553985595703,0.6780276298522949,0.665966808795929,0.6845457553863525,0.7472267150878906,0.6952335238456726,0.6958115100860596,0.6926426887512207,0.9120633602142334
German Shepherd,0.8212063312530518,0.6895112991333008,0.8132875561714172,0.8529747724533081,0.9999996423721313,0.7828805446624756,0.6903416514396667,0.6788399815559387,0.6805315613746643,0.8734744787216187,0.8418285846710205,0.7069318890571594,0.7043287754058838,0.7173676490783691,0.6425852179527283,0.7481372952461243,0.6925230622291565,0.7330793738365173,0.6776988506317139,0.8222732543945312
Ginger Cat,0.8521683812141418,0.7951124906539917,0.8619574904441833,0.8055312633514404,0.7828805446624756,1.0000001192092896,0.7630398273468018,0.7146763205528259,0.7578176259994507,0.8294918537139893,0.7970840334892273,0.7919679880142212,0.7681706547737122,0.7798455953598022,0.7613856792449951,0.7505648732185364,0.800424337387085,0.8058425188064575,0.8114016056060791,0.8721594214439392
Gray Parrot 2,0.7463192939758301,0.7130988836288452,0.7687605619430542,0.7423672676086426,0.6903416514396667,0.7630398273468018,1.000000238418579,0.9139175415039062,0.9241470098495483,0.7647992968559265,0.7329196929931641,0.7380601167678833,0.7333089709281921,0.6913392543792725,0.8882344961166382,0.7254657745361328,0.7064988017082214,0.7261018753051758,0.7468125224113464,0.7671111226081848
Gray Parrot Full,0.6820460557937622,0.7148141860961914,0.7143579721450806,0.6845062971115112,0.6788399815559387,0.7146763205528259,0.9139175415039062,1.0000001192092896,0.9035968780517578,0.7357313632965088,0.7036417126655579,0.7354110479354858,0.7395688891410828,0.7369402050971985,0.8408224582672119,0.7326090335845947,0.7180017828941345,0.7194693088531494,0.7176147699356079,0.7039607763290405
Gray Parrot,0.7175066471099854,0.7219329476356506,0.7489850521087646,0.7156713008880615,0.6805315613746643,0.7578176259994507,0.9241470098495483,0.9035968780517578,0.9999997615814209,0.7555596828460693,0.7398755550384521,0.7732128500938416,0.7453823089599609,0.7296799421310425,0.9170354604721069,0.7683985233306885,0.7299155592918396,0.7356680631637573,0.7387633323669434,0.7451266646385193
Husky,0.8742895126342773,0.7289711236953735,0.867029070854187,0.8441652059555054,0.8734744787216187,0.8294918537139893,0.7647992968559265,0.7357313632965088,0.7555596828460693,0.9999998807907104,0.8236499428749084,0.7386634945869446,0.7337965965270996,0.730128824710846,0.7281380891799927,0.7682550549507141,0.7373098134994507,0.7870361804962158,0.7526068091392517,0.8776417374610901
Irish Setter,0.8510698676109314,0.7234008312225342,0.8225083947181702,0.8392919301986694,0.8418285846710205,0.7970840334892273,0.7329196929931641,0.7036417126655579,0.7398755550384521,0.8236499428749084,1.000000238418579,0.694691002368927,0.6737009286880493,0.6870139241218567,0.7192959189414978,0.7760617136955261,0.6614194512367249,0.7019295692443848,0.7206246852874756,0.8793854713439941
Leopard,0.7093639373779297,0.7412790060043335,0.7318281531333923,0.7304553985595703,0.7069318890571594,0.7919679880142212,0.7380601167678833,0.7354110479354858,0.7732128500938416,0.7386634945869446,0.694691002368927,1.000000238418579,0.8648516535758972,0.8264949321746826,0.76605224609375,0.7636940479278564,0.8575290441513062,0.7558822631835938,0.7218652367591858,0.7444219589233398
Lion,0.718135416507721,0.7318556308746338,0.7130692005157471,0.6780276298522949,0.7043287754058838,0.7681706547737122,0.7333089709281921,0.7395688891410828,0.7453823089599609,0.7337965965270996,0.6737009286880493,0.8648516535758972,1.0000001192092896,0.7799912095069885,0.7587262392044067,0.7473046779632568,0.8278931379318237,0.735221803188324,0.7216566801071167,0.7224805355072021
Lynx,0.666620135307312,0.7771748304367065,0.691932201385498,0.665966808795929,0.7173676490783691,0.7798455953598022,0.6913392543792725,0.7369402050971985,0.7296799421310425,0.730128824710846,0.6870139241218567,0.8264949321746826,0.7799912095069885,0.9999998211860657,0.6876228451728821,0.7964959144592285,0.8614708781242371,0.7863174080848694,0.7181462645530701,0.6910466551780701
Macaw Parrot,0.7272042632102966,0.7003501653671265,0.7389888763427734,0.6845457553863525,0.6425852179527283,0.7613856792449951,0.8882344961166382,0.8408224582672119,0.9170354604721069,0.7281380891799927,0.7192959189414978,0.76605224609375,0.7587262392044067,0.6876228451728821,1.0000001192092896,0.7377591729164124,0.7092923521995544,0.7226582169532776,0.7374341487884521,0.7341530323028564
Moose,0.7353013157844543,0.7770397067070007,0.7686189413070679,0.7472267150878906,0.7481372952461243,0.7505648732185364,0.7254657745361328,0.7326090335845947,0.7683985233306885,0.7682550549507141,0.7760617136955261,0.7636940479278564,0.7473046779632568,0.7964959144592285,0.7377591729164124,1.0000001192092896,0.7577137351036072,0.7736530900001526,0.7749871611595154,0.7726204991340637
Puma,0.69034343957901,0.7647358179092407,0.728789210319519,0.6952335238456726,0.6925230622291565,0.800424337387085,0.7064988017082214,0.7180017828941345,0.7299155592918396,0.7373098134994507,0.6614194512367249,0.8575290441513062,0.8278931379318237,0.8614708781242371,0.7092923521995544,0.7577137351036072,0.9999998211860657,0.7745994329452515,0.722278892993927,0.7135823965072632
Raccoon,0.7829539775848389,0.8619881868362427,0.7985247373580933,0.6958115100860596,0.7330793738365173,0.8058425188064575,0.7261018753051758,0.7194693088531494,0.7356680631637573,0.7870361804962158,0.7019295692443848,0.7558822631835938,0.735221803188324,0.7863174080848694,0.7226582169532776,0.7736530900001526,0.7745994329452515,0.9999998807907104,0.8158966898918152,0.7555723190307617
Red Squirrel,0.781050443649292,0.8400360345840454,0.7963995337486267,0.6926426887512207,0.6776988506317139,0.8114016056060791,0.7468125224113464,0.7176147699356079,0.7387633323669434,0.7526068091392517,0.7206246852874756,0.7218652367591858,0.7216566801071167,0.7181462645530701,0.7374341487884521,0.7749871611595154,0.722278892993927,0.8158966898918152,1.000000238418579,0.7790125012397766
Vizsla,0.9375138878822327,0.7369311451911926,0.8875259160995483,0.9120633602142334,0.8222732543945312,0.8721594214439392,0.7671111226081848,0.7039607763290405,0.7451266646385193,0.8776417374610901,0.8793854713439941,0.7444219589233398,0.7224805355072021,0.6910466551780701,0.7341530323028564,0.7726204991340637,0.7135823965072632,0.7555723190307617,0.7790125012397766,1.0000003576278687
